group	key	x
1	1	-5
1	1	-4.975
1	1	-4.95
1	1	-4.925
1	1	-4.9
1	1	-4.875
1	1	-4.85
1	1	-4.825
1	1	-4.8
1	1	-4.775
1	1	-4.75
1	1	-4.725
1	1	-4.7
1	1	-4.675
1	1	-4.65
1	1	-4.625
1	1	-4.6
1	1	-4.575
1	1	-4.55
1	1	-4.525
1	1	-4.5
1	1	-4.475
1	1	-4.45
1	1	-4.425
1	1	-4.4
1	1	-4.375
1	1	-4.35
1	1	-4.325
1	1	-4.3
1	1	-4.275
1	1	-4.25
1	1	-4.225
1	1	-4.2
1	1	-4.175
1	1	-4.15
1	1	-4.125
1	1	-4.1
1	1	-4.075
1	1	-4.05
1	1	-4.025
1	1	-4
1	1	-3.975
1	1	-3.95
1	1	-3.925
1	1	-3.9
1	1	-3.875
1	1	-3.85
1	1	-3.825
1	1	-3.8
1	1	-3.775
1	1	-3.75
1	1	-3.725
1	1	-3.7
1	1	-3.675
1	1	-3.65
1	1	-3.625
1	1	-3.6
1	1	-3.575
1	1	-3.55
1	1	-3.525
1	1	-3.5
1	1	-3.475
1	1	-3.45
1	1	-3.425
1	1	-3.4
1	1	-3.375
1	1	-3.35
1	1	-3.325
1	1	-3.3
1	1	-3.275
1	1	-3.25
1	1	-3.225
1	1	-3.2
1	1	-3.175
1	1	-3.15
1	1	-3.125
1	1	-3.1
1	1	-3.075
1	1	-3.05
1	1	-3.025
1	1	-3
1	1	-2.975
1	1	-2.95
1	1	-2.925
1	1	-2.9
1	1	-2.875
1	1	-2.85
1	1	-2.825
1	1	-2.8
1	1	-2.775
1	1	-2.75
1	1	-2.725
1	1	-2.7
1	1	-2.675
1	1	-2.65
1	1	-2.625
1	1	-2.6
1	1	-2.575
1	1	-2.55
1	1	-2.525
1	1	-2.5
1	1	-2.475
1	1	-2.45
1	1	-2.425
1	1	-2.4
1	1	-2.375
1	1	-2.35
1	1	-2.325
1	1	-2.3
1	1	-2.275
1	1	-2.25
1	1	-2.225
1	1	-2.2
1	1	-2.175
1	1	-2.15
1	1	-2.125
1	1	-2.1
1	1	-2.075
1	1	-2.05
1	1	-2.025
1	1	-2
1	1	-1.975
1	1	-1.95
1	1	-1.925
1	1	-1.9
1	1	-1.875
1	1	-1.85
1	1	-1.825
1	1	-1.8
1	1	-1.775
1	1	-1.75
1	1	-1.725
1	1	-1.7
1	1	-1.675
1	1	-1.65
1	1	-1.625
1	1	-1.6
1	1	-1.575
1	1	-1.55
1	1	-1.525
1	1	-1.5
1	1	-1.475
1	1	-1.45
1	1	-1.425
1	1	-1.4
1	1	-1.375
1	1	-1.35
1	1	-1.325
1	1	-1.3
1	1	-1.275
1	1	-1.25
1	1	-1.225
1	1	-1.2
1	1	-1.175
1	1	-1.15
1	1	-1.125
1	1	-1.1
1	1	-1.075
1	1	-1.05
1	1	-1.025
1	1	-1
1	1	-0.975
1	1	-0.95
1	1	-0.925
1	1	-0.9
1	1	-0.875
1	1	-0.85
1	1	-0.825
1	1	-0.8
1	1	-0.775
1	1	-0.75
1	1	-0.725
1	1	-0.7
1	1	-0.675
1	1	-0.65
1	1	-0.625
1	1	-0.6
1	1	-0.575
1	1	-0.55
1	1	-0.525
1	1	-0.5
1	1	-0.475
1	1	-0.45
1	1	-0.425
1	1	-0.399999999999999
1	1	-0.375
1	1	-0.35
1	1	-0.325
1	1	-0.3
1	1	-0.274999999999999
1	1	-0.25
1	1	-0.225
1	1	-0.199999999999999
1	1	-0.175
1	1	-0.149999999999999
1	1	-0.125
1	1	-0.0999999999999996
1	1	-0.0749999999999993
1	1	-0.0499999999999998
1	1	-0.0249999999999995
1	1	0
1	1	0.0250000000000004
1	1	0.0500000000000007
1	1	0.0750000000000002
1	1	0.100000000000001
